block,label,method,round,n,f1_mean,f1_std,f1_var,ci_low,ci_high,bytes_cum_mean
heterogeneous,fast25,ASILO,0,10,0.31046848786079584,0.022792492264310262,0.0005194977036186431,0.296341554795826,0.32459542092576565,0.0
heterogeneous,fast25,ASILO,1,10,0.32709217981293226,0.022813802465331608,0.0005204695829271706,0.3129520385485282,0.3412323210773363,7736.7
heterogeneous,fast25,ASILO,2,10,0.3451218712474749,0.021539987659499524,0.0004639710683713918,0.33177124857939105,0.35847249391555874,20868.9
heterogeneous,fast25,ASILO,3,10,0.3593457534884908,0.025576253070277107,0.0006541447211148592,0.34349342760036056,0.37519807937662103,38316.9
heterogeneous,fast25,ASILO,4,10,0.3621632803710002,0.01964882782345262,0.0003860764348356858,0.3499848107131788,0.37434175002882164,61160.8
heterogeneous,fast25,ASILO,5,10,0.3616119447063245,0.020743687994118264,0.0004303005915973262,0.3487548736841971,0.3744690157284519,88321.1
heterogeneous,fast25,ASILO,6,10,0.36485102507646855,0.022939657820909856,0.0005262279009404308,0.3506328778545104,0.3790691722984267,120514.2
heterogeneous,fast25,ASILO,7,10,0.3758776741634577,0.029342006689013968,0.0008609533565381404,0.3576913100010504,0.39406403832586495,157201.0
heterogeneous,fast25,ASILO,8,10,0.3740806118800596,0.032279806889011664,0.0010419859327918848,0.3540733802889241,0.3940878434711951,198020.4
heterogeneous,fast25,ASILO,9,10,0.372873300148078,0.029748186106197387,0.0008849545766089552,0.3544351833746628,0.39131141692149324,242794.1
heterogeneous,fast25,ASILO,10,10,0.377166695597893,0.0269760703899845,0.0007277083736853986,0.360446753946231,0.393886637249555,292599.3
heterogeneous,fast25,ASILO,11,10,0.37500234971740154,0.027154502697339794,0.0007373670167398342,0.35817181457585673,0.39183288485894635,346179.7
heterogeneous,fast25,ASILO,12,10,0.37497801628446614,0.031679306003369684,0.0010035784288551345,0.35534297899830375,0.39461305357062854,403714.1
heterogeneous,fast25,ASILO,13,10,0.37136209869204284,0.02440122817653277,0.0005954199365232169,0.35623806077835196,0.3864861366057337,466098.9
heterogeneous,fast25,ASILO,14,10,0.37685903298104223,0.029643388888877787,0.000878730504817243,0.3584858701958658,0.39523219576621865,532799.3
heterogeneous,fast25,ASILO,15,10,0.38222575324540475,0.028169526119358815,0.0007935222017892385,0.36476610006902827,0.39968540642178124,603631.2
heterogeneous,fast25,ASILO,16,10,0.37395672407290415,0.023339330984786518,0.0005447243708174161,0.3594908568575168,0.3884225912882915,678597.0
heterogeneous,fast25,ASILO,17,10,0.3734529219502473,0.026303364687939777,0.0006918669939067572,0.3571499276124203,0.3897559162880743,757693.3
heterogeneous,fast25,ASILO,18,10,0.37598009849224123,0.026438232725975196,0.0006989801496728259,0.3595935120783992,0.3923666849060833,840202.5
heterogeneous,fast25,ASILO,19,10,0.3751722863708561,0.031393813684149674,0.0009855715376351033,0.3557141990574046,0.3946303736843076,926844.0
heterogeneous,fast25,ASILO,20,10,0.37919365711575753,0.0298807885148571,0.000892861522269616,0.36067335251796284,0.3977139617135522,1017619.5
heterogeneous,fast25,ASILO,21,10,0.38045113270698705,0.028502692191001336,0.0008124034621349685,0.3627849810600162,0.3981172843539579,1112709.4
heterogeneous,fast25,ASILO,22,10,0.3770872767416722,0.027408259666948633,0.0007512126979708831,0.3600994614008906,0.3940750920824538,1211573.2
heterogeneous,fast25,ASILO,23,10,0.3783061601261562,0.027824591886604976,0.0007742079136561235,0.3610602994021988,0.3955520208501136,1314031.3
heterogeneous,fast25,ASILO,24,10,0.3778705459747064,0.027266706964433864,0.0007434733086843062,0.360970465907909,0.39477062604150376,1419365.8
heterogeneous,fast25,ASILO,25,10,0.3788746968479276,0.03366278127004459,0.0011331828428348646,0.35801028885480585,0.3997391048410493,1528113.9
heterogeneous,fast25,ASILO,26,10,0.3792234796054178,0.03003031237118736,0.0009018196611110885,0.36061049916131815,0.39783646004951745,1640278.6
heterogeneous,fast25,ASILO,27,10,0.37808925372032415,0.03415385189377854,0.0011664855991821601,0.3569204770012547,0.3992580304393936,1755675.5
heterogeneous,fast25,ASILO,28,10,0.3785415194759899,0.029124566815162282,0.0008482403921708521,0.3604899259436628,0.396593113008317,1874663.7
heterogeneous,fast25,ASILO,29,10,0.3807964932480684,0.029209254476821617,0.0008531805470917237,0.36269240975923206,0.39890057673690477,1997603.2
heterogeneous,fast25,ASILO,30,10,0.37593473878334394,0.025122911390307395,0.000631160676725237,0.360363396979544,0.39150608058714387,2123779.3
heterogeneous,fast25,ASILO,31,10,0.3783599798400104,0.029715179691787018,0.0008829919041151916,0.35994232065419385,0.39677763902582697,2253730.5
heterogeneous,fast25,ASILO,32,10,0.3760595600692539,0.02675163896526274,0.0007156501873277636,0.3594787224557968,0.392640397682711,2387454.6
heterogeneous,fast25,ASILO,33,10,0.37442281384843656,0.03251299075865608,0.0010570945680724558,0.3542710533975302,0.39457457429934295,2524771.7
heterogeneous,fast25,ASILO,34,10,0.37304521022118386,0.02471439845234597,0.000610801490861321,0.35772706735955456,0.38836335308281317,2665324.0
heterogeneous,fast25,ASILO,35,10,0.3764250049115519,0.027827467685111,0.000774367957765897,0.35917736174921383,0.39367264807388996,2809651.2
heterogeneous,fast25,ASILO,36,10,0.37629341254352205,0.02852180770894593,0.0008134935149860874,0.3586154129757809,0.3939714121112632,2957034.8
heterogeneous,fast25,ASILO,37,10,0.37423463481810326,0.029878756809759946,0.0008927401084967764,0.35571558948417414,0.3927536801520324,3107473.3
heterogeneous,fast25,ASILO,38,10,0.374099853736788,0.028026530925177113,0.000785486435699909,0.35672882989999366,0.39147087757358234,3261507.9
heterogeneous,fast25,ASILO,39,10,0.37802578168707657,0.03014460819279326,0.0009086974030970185,0.3593419599588072,0.39670960341534595,3419496.6
heterogeneous,fast25,ASILO,40,10,0.3737286522230853,0.02810339253386158,0.0007898006719123068,0.35630998906766975,0.3911473153785009,3580002.6
heterogeneous,fast25,ASILO,41,10,0.37570285439233436,0.029411346363356936,0.0008650272949053493,0.357473513054512,0.3939321957301567,3744104.4
heterogeneous,fast25,ASILO,42,10,0.3772597227959006,0.029794049476078704,0.0008876853841830257,0.3587931796113262,0.395726265980475,3911985.6
heterogeneous,fast25,ASILO,43,10,0.37730453661698765,0.02956657004713668,0.0008741820643522399,0.3589789866432063,0.395630086590769,4082745.4
heterogeneous,fast25,ASILO,44,10,0.37868349896584536,0.03062119022488708,0.0009376572907887201,0.3597042886337637,0.397662709297927,4256382.9
heterogeneous,fast25,ASILO,45,10,0.3785355921782647,0.030474086194179986,0.0009286699293703112,0.35964755786902813,0.3974236264875013,4432177.0
heterogeneous,fast25,ASILO,46,10,0.3792103677472625,0.029197680404424758,0.0008525045409989295,0.3611134579428194,0.39730727755170564,4610846.6
heterogeneous,fast25,ASILO,47,10,0.37855339492545337,0.02929785883917656,0.0008583645325603162,0.360394393883866,0.3967123959670407,4791853.0
heterogeneous,fast25,ASILO,48,10,0.3753602642210899,0.03210704523171492,0.0010308623535113877,0.35546011141451744,0.3952604170276624,4975377.3
heterogeneous,fast25,ASILO,49,10,0.37563454400959967,0.03398946882823599,0.0011552839912256259,0.3545676529701217,0.3967014350490776,5162141.8
heterogeneous,fast25,DFedSAM,0,10,0.28937197556687666,0.02529772137750826,0.0006399747068940384,0.273692285410486,0.3050516657232673,15600.0
heterogeneous,fast25,DFedSAM,1,10,0.30073388171787147,0.017461430078779445,0.0003049015403961035,0.28991117522833904,0.3115565882074039,46800.0
heterogeneous,fast25,DFedSAM,2,10,0.31977076095959645,0.026030871904781903,0.0006776062921231639,0.30363665939855394,0.33590486252063895,93600.0
heterogeneous,fast25,DFedSAM,3,10,0.32757431629514866,0.024844035536272596,0.0006172261017275756,0.31217582353645096,0.34297280905384636,156000.0
heterogeneous,fast25,DFedSAM,4,10,0.3335205218724231,0.02404325878587421,0.0005780782930445175,0.31861835568572455,0.34842268805912163,234000.0
heterogeneous,fast25,DFedSAM,5,10,0.33311578428456023,0.023829507156144538,0.0005678454113047437,0.31834610273055136,0.3478854658385691,327600.0
heterogeneous,fast25,DFedSAM,6,10,0.33239176967172124,0.02476744874760967,0.0006134265174654718,0.3170407458964307,0.34774279344701176,436800.0
heterogeneous,fast25,DFedSAM,7,10,0.336663248922935,0.02494686682778981,0.0006223461645234797,0.3212010206694348,0.35212547717643516,561600.0
heterogeneous,fast25,DFedSAM,8,10,0.3424781835262481,0.029110746205977193,0.0008474355446688156,0.32443515609624146,0.3605212109562547,702000.0
heterogeneous,fast25,DFedSAM,9,10,0.35231456897274044,0.030846493656782308,0.0009515061709179112,0.33319571412680826,0.3714334238186726,858000.0
heterogeneous,fast25,DFedSAM,10,10,0.36110782636489,0.03602645343157048,0.0012979053468571164,0.3387783991879867,0.38343725354179337,1029600.0
heterogeneous,fast25,DFedSAM,11,10,0.36104479600917055,0.03159239224474594,0.0009980792477458835,0.34146362842871053,0.3806259635896306,1216800.0
heterogeneous,fast25,DFedSAM,12,10,0.3671353454734828,0.02832423417917618,0.0008022622418368122,0.34957980324819027,0.38469088769877535,1419600.0
heterogeneous,fast25,DFedSAM,13,10,0.36159925300351786,0.028927552892544194,0.000836803316350942,0.3436697699655333,0.37952873604150245,1638000.0
heterogeneous,fast25,DFedSAM,14,10,0.35896838011196924,0.03213160319960993,0.001032439924177183,0.3390530061191991,0.3788837541047394,1872000.0
heterogeneous,fast25,DFedSAM,15,10,0.373474742859059,0.030198568736219424,0.0009119535537161692,0.3547574760394723,0.39219200967864576,2121600.0
heterogeneous,fast25,DFedSAM,16,10,0.3705813953742263,0.026738684081878922,0.0007149572264305253,0.3540085872806789,0.3871542034677737,2386800.0
heterogeneous,fast25,DFedSAM,17,10,0.3668918250031393,0.031704178155520894,0.0010051549125170082,0.3472413717973597,0.38654227820891895,2667600.0
heterogeneous,fast25,DFedSAM,18,10,0.37141744338458044,0.03402394184457745,0.0011576286186431885,0.35032918574820926,0.3925057010209516,2964000.0
heterogeneous,fast25,DFedSAM,19,10,0.3703289378028953,0.03265430145935586,0.0010663034037984905,0.35008959207228363,0.3905682835335069,3276000.0
heterogeneous,fast25,DFedSAM,20,10,0.3711349211530489,0.033609810104945216,0.0011296193352904776,0.3503033450282044,0.3919664972778934,3603600.0
heterogeneous,fast25,DFedSAM,21,10,0.37140488438067554,0.032242890204004934,0.0010396039687075173,0.35142053398796375,0.39138923477338733,3946800.0
heterogeneous,fast25,DFedSAM,22,10,0.36903389188875446,0.03264595011921423,0.0010657580591862236,0.3487997223723898,0.3892680614051191,4305600.0
heterogeneous,fast25,DFedSAM,23,10,0.36969976728892984,0.02987316678253123,0.0008924060936169274,0.35118418668977286,0.3882153478880868,4680000.0
heterogeneous,fast25,DFedSAM,24,10,0.37002054476824664,0.03358506547608047,0.0011279566230326123,0.34920430552326753,0.39083678401322575,5070000.0
heterogeneous,fast25,DFedSAM,25,10,0.3640277528387104,0.0341027899120178,0.0011630002797832233,0.3428906246638253,0.38516488101359553,5475600.0
heterogeneous,fast25,DFedSAM,26,10,0.36616111867438406,0.027504478058102893,0.0007564963132486635,0.34911366655690895,0.38320857079185916,5896800.0
heterogeneous,fast25,DFedSAM,27,10,0.37366366282614694,0.027079271002608152,0.0007332869180326947,0.35687975677208905,0.3904475688802048,6333600.0
heterogeneous,fast25,DFedSAM,28,10,0.3698075851860171,0.02899831241065732,0.0008409021226660823,0.3518342449443313,0.38778092542770287,6786000.0
heterogeneous,fast25,DFedSAM,29,10,0.36633681413326935,0.03592769055036743,0.0012907989482829612,0.34406860082433094,0.38860502744220776,7254000.0
heterogeneous,fast25,DFedSAM,30,10,0.3661403677516138,0.03454574987161471,0.0011934088341921678,0.34472869014935054,0.38755204535387705,7737600.0
heterogeneous,fast25,DFedSAM,31,10,0.36873441124408,0.029441133548335583,0.000866780344610931,0.35048660761773265,0.3869822148704274,8236800.0
heterogeneous,fast25,DFedSAM,32,10,0.3639660738967227,0.03834973350553384,0.001470702059945465,0.34019666281128247,0.3877354849821629,8751600.0
heterogeneous,fast25,DFedSAM,33,10,0.370944588470453,0.0333302052555619,0.0011109025823778861,0.3502863132267089,0.39160286371419706,9282000.0
heterogeneous,fast25,DFedSAM,34,10,0.3673482607381974,0.03316753814480109,0.0011000855865868353,0.3467908076142523,0.38790571386214245,9828000.0
heterogeneous,fast25,DFedSAM,35,10,0.36875805030766806,0.03296754418891262,0.0010868589698479064,0.34832455472182244,0.3891915458935137,10389600.0
heterogeneous,fast25,DFedSAM,36,10,0.3671150785386961,0.03251687735035693,0.0010573473126181555,0.34696090915329625,0.387269247924096,10966800.0
heterogeneous,fast25,DFedSAM,37,10,0.372208458303109,0.031835839201025326,0.001013520657633541,0.35247640073587844,0.39194051587033957,11559600.0
heterogeneous,fast25,DFedSAM,38,10,0.36930901164061347,0.032281973486764634,0.0010421258122001748,0.3493004371782781,0.38931758610294886,12168000.0
heterogeneous,fast25,DFedSAM,39,10,0.3688121014024902,0.03682358547308576,0.0013559764470936523,0.3459886066675576,0.3916355961374228,12792000.0
heterogeneous,fast25,DFedSAM,40,10,0.3703522906458849,0.04121816465720772,0.0016989370977086877,0.34480500751331344,0.3958995737784563,13431600.0
heterogeneous,fast25,DFedSAM,41,10,0.3723703662237055,0.03948141159497904,0.0015587818615321453,0.34789953379147737,0.39684119865593365,14086800.0
heterogeneous,fast25,DFedSAM,42,10,0.3739950464202354,0.037644279501214246,0.001417091779165539,0.35066288025666986,0.39732721258380094,14757600.0
heterogeneous,fast25,DFedSAM,43,10,0.37283240097293996,0.039156277127352555,0.001533214038474033,0.3485630889715629,0.397101712974317,15444000.0
heterogeneous,fast25,DFedSAM,44,10,0.37165297996954194,0.03916400960547556,0.0015338196483777819,0.347378875328571,0.3959270846105129,16146000.0
heterogeneous,fast25,DFedSAM,45,10,0.3669108079404784,0.04167896322002691,0.0017371359750963562,0.34107791889970296,0.3927436969812539,16863600.0
heterogeneous,fast25,DFedSAM,46,10,0.37139629823294884,0.04174684664243968,0.0017427992045873774,0.34552133461105583,0.39727126185484185,17596800.0
heterogeneous,fast25,DFedSAM,47,10,0.374339340352542,0.04227108466117732,0.0017868445984324207,0.34813945064029705,0.400539230064787,18345600.0
heterogeneous,fast25,DFedSAM,48,10,0.37209182333891827,0.0396485453375566,0.0015720071473842813,0.3475174003398091,0.39666624633802744,19110000.0
heterogeneous,fast25,DFedSAM,49,10,0.3743143113419509,0.04187327919168859,0.0017533715102651005,0.3483609840141603,0.4002676386697415,19890000.0
heterogeneous,fast25,DeceFL,0,10,0.2935356367377625,0.027597746977468675,0.0007616356382323814,0.2764303759451481,0.31064089753037694,62400.0
heterogeneous,fast25,DeceFL,1,10,0.3131171939781086,0.024369340768356507,0.0005938647694842825,0.298012920084767,0.32822146787145023,187200.0
heterogeneous,fast25,DeceFL,2,10,0.31822886394629124,0.024695011616107532,0.0006098435987196859,0.30292273717025303,0.33353499072232945,374400.0
heterogeneous,fast25,DeceFL,3,10,0.3271518555979837,0.025783685060955738,0.000664798415322552,0.31117096203002853,0.3431327491659389,624000.0
heterogeneous,fast25,DeceFL,4,10,0.3353387845123626,0.03394307604150206,0.0011521324111591913,0.3143006480200087,0.3563769210047165,936000.0
heterogeneous,fast25,DeceFL,5,10,0.3407537907084946,0.04404063706415866,0.0019395777130169455,0.3134571210538904,0.3680504603630988,1310400.0
heterogeneous,fast25,DeceFL,6,10,0.3451418373848131,0.03736900055715531,0.0013964422026406737,0.32198029087844954,0.3683033838911766,1747200.0
heterogeneous,fast25,DeceFL,7,10,0.34615058019758943,0.04022874232247209,0.001618351708847857,0.3212165473815568,0.37108461301362206,2246400.0
heterogeneous,fast25,DeceFL,8,10,0.3547009760806213,0.03832421882186064,0.0014687457483058574,0.33094737915996153,0.37845457300128105,2808000.0
heterogeneous,fast25,DeceFL,9,10,0.34984142724908296,0.04614114004451037,0.0021290048046071187,0.3212428523591016,0.3784400021390643,3432000.0
heterogeneous,fast25,DeceFL,10,10,0.3542336927691058,0.04929014133647399,0.002429518032969582,0.32368334665739057,0.3847840388808211,4118400.0
heterogeneous,fast25,DeceFL,11,10,0.36100329219929744,0.043578095929280025,0.0018990504448215323,0.33399330851024944,0.38801327588834544,4867200.0
heterogeneous,fast25,DeceFL,12,10,0.36494624613182514,0.042796384690866635,0.001831530542608644,0.3384207720880208,0.3914717201756295,5678400.0
heterogeneous,fast25,DeceFL,13,10,0.36637759349610566,0.04205242134290427,0.0017684061408011504,0.34031323271264946,0.39244195427956186,6552000.0
heterogeneous,fast25,DeceFL,14,10,0.3616011014229553,0.04417948772212315,0.0019518271353892302,0.3342183712389301,0.3889838316069805,7488000.0
heterogeneous,fast25,DeceFL,15,10,0.36137301772745156,0.044067621798990216,0.0019419552910188377,0.33405962276091916,0.38868641269398396,8486400.0
heterogeneous,fast25,DeceFL,16,10,0.36779136766251125,0.038812781840426865,0.0015064320341925694,0.34373495624568895,0.39184777907933355,9547200.0
heterogeneous,fast25,DeceFL,17,10,0.3670334429862273,0.04554518102995833,0.0020743635150516763,0.33880424732035236,0.39526263865210226,10670400.0
heterogeneous,fast25,DeceFL,18,10,0.37447986260047306,0.039303285262900056,0.0015447482324568967,0.35011943401268664,0.3988402911882595,11856000.0
heterogeneous,fast25,DeceFL,19,10,0.3729665050713567,0.037597739640198025,0.0014135900260521179,0.34966318461249973,0.39626982553021367,13104000.0
heterogeneous,fast25,DeceFL,20,10,0.3726945373895135,0.036144729278752445,0.0013064414546343044,0.3502918020830311,0.3950972726959959,14414400.0
heterogeneous,fast25,DeceFL,21,10,0.3741352871586435,0.04256178138582344,0.0018115052347346268,0.347755221749785,0.40051535256750204,15787200.0
heterogeneous,fast25,DeceFL,22,10,0.37078149296860724,0.041532708214200346,0.001724965851605905,0.345039253719604,0.3965237322176105,17222400.0
heterogeneous,fast25,DeceFL,23,10,0.3666178232500206,0.03413045091608113,0.0011648876797350231,0.34546355060719486,0.3877720958928464,18720000.0
heterogeneous,fast25,DeceFL,24,10,0.3670041075134179,0.035002188631504234,0.0012251532089954042,0.34530952623680244,0.38869868879003333,20280000.0
heterogeneous,fast25,DeceFL,25,10,0.36778287319885405,0.03130944126467598,0.000980281112306195,0.3483770804527808,0.3871886659449273,21902400.0
heterogeneous,fast25,DeceFL,26,10,0.3662327555070173,0.0365932547778826,0.0013390662952390275,0.34355202121601547,0.3889134897980191,23587200.0
heterogeneous,fast25,DeceFL,27,10,0.3651000259882526,0.030409104667281726,0.0009247136466656952,0.34625226764665945,0.3839477843298457,25334400.0
heterogeneous,fast25,DeceFL,28,10,0.3691133121333487,0.02360878341716477,0.0005573746544385942,0.35448043657011336,0.38374618769658403,27144000.0
heterogeneous,fast25,DeceFL,29,10,0.3746299378901263,0.027145966438040715,0.0007369034938552329,0.3578046935769097,0.39145518220334286,29016000.0
heterogeneous,fast25,DeceFL,30,10,0.3761781904098548,0.031997760438529095,0.0010238566730814977,0.3563457730198595,0.3960106077998501,30950400.0
heterogeneous,fast25,DeceFL,31,10,0.37617100523500574,0.03218175648636824,0.0010356654505479044,0.3562245459130488,0.3961174645569627,32947200.0
heterogeneous,fast25,DeceFL,32,10,0.378437621091616,0.03165381621962265,0.0010019640812656458,0.3588183825370999,0.3980568596461321,35006400.0
heterogeneous,fast25,DeceFL,33,10,0.3758270821150013,0.026733930330754413,0.0007147030309296307,0.3592572204269266,0.39239694380307605,37128000.0
heterogeneous,fast25,DeceFL,34,10,0.3736920777519536,0.02281291606296116,0.0005204291392957113,0.3595524858854307,0.38783166961847654,39312000.0
heterogeneous,fast25,DeceFL,35,10,0.3755680975327746,0.02776814028098989,0.0007710696146647334,0.3583572258764754,0.3927789691890738,41558400.0
heterogeneous,fast25,DeceFL,36,10,0.37710137276510397,0.027265103454024078,0.0007433858663586357,0.3602022865643553,0.3940004589658526,43867200.0
heterogeneous,fast25,DeceFL,37,10,0.37744404828521777,0.024620098326906793,0.0006061492416265587,0.3621843532468738,0.3927037433235617,46238400.0
heterogeneous,fast25,DeceFL,38,10,0.3763333481203187,0.02552965663579978,0.0006517633679418357,0.36050990300149155,0.3921567932391459,48672000.0
heterogeneous,fast25,DeceFL,39,10,0.38318823705489574,0.027149212584480838,0.0007370797439573327,0.3663609807592708,0.40001549335052067,51168000.0
heterogeneous,fast25,DeceFL,40,10,0.3784112980512936,0.029630564983856775,0.0008779703812625592,0.3600460836047965,0.39677651249779067,53726400.0
heterogeneous,fast25,DeceFL,41,10,0.38204046695652577,0.027062428236823446,0.000732375022073219,0.3652670001568553,0.3988139337561962,56347200.0
heterogeneous,fast25,DeceFL,42,10,0.38128812094252856,0.028026802287578464,0.0007855016464670135,0.36391692891357535,0.39865931297148177,59030400.0
heterogeneous,fast25,DeceFL,43,10,0.3806561494609743,0.028621050914578092,0.0008191645554548715,0.36291663831710275,0.3983956606048459,61776000.0
heterogeneous,fast25,DeceFL,44,10,0.3804126574377748,0.025085638064084356,0.000629289237082238,0.3648644178809146,0.395960896994635,64584000.0
heterogeneous,fast25,DeceFL,45,10,0.3799777869185832,0.03487233687813316,0.001216079879342006,0.35836368859253626,0.40159188524463013,67454400.0
